"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 16:29:47 GMT 2024","Tue Apr 23 16:30:50 GMT 2024","62419","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"passed","Tue Apr 23 16:32:50 GMT 2024","Tue Apr 23 16:32:50 GMT 2024","94","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"broken","Tue Apr 23 16:30:50 GMT 2024","Tue Apr 23 16:31:50 GMT 2024","60157","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:31:50 GMT 2024","Tue Apr 23 16:32:50 GMT 2024","60095","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 23 16:32:50 GMT 2024","Tue Apr 23 16:32:50 GMT 2024","237","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Tue Apr 23 16:32:51 GMT 2024","Tue Apr 23 16:32:51 GMT 2024","209","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"broken","Tue Apr 23 16:29:47 GMT 2024","Tue Apr 23 16:30:50 GMT 2024","62419","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:30:50 GMT 2024","Tue Apr 23 16:31:50 GMT 2024","60157","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"broken","Tue Apr 23 16:31:50 GMT 2024","Tue Apr 23 16:32:50 GMT 2024","60129","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"broken","Tue Apr 23 16:30:50 GMT 2024","Tue Apr 23 16:31:50 GMT 2024","60105","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"broken","Tue Apr 23 16:31:50 GMT 2024","Tue Apr 23 16:32:50 GMT 2024","60127","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"broken","Tue Apr 23 16:29:47 GMT 2024","Tue Apr 23 16:30:50 GMT 2024","62419","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"passed","Tue Apr 23 16:32:50 GMT 2024","Tue Apr 23 16:32:51 GMT 2024","109","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"broken","Tue Apr 23 16:30:50 GMT 2024","Tue Apr 23 16:31:50 GMT 2024","60181","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"broken","Tue Apr 23 16:29:47 GMT 2024","Tue Apr 23 16:30:50 GMT 2024","62419","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
