"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:10 GMT 2024","5716","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:04 GMT 2024","66","","API Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Fri Apr 26 19:04:34 GMT 2024","Fri Apr 26 19:04:34 GMT 2024","71","","API Tests","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest","Update entity (test case) test
"
"passed","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:11 GMT 2024","7341","","UI Tests","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Fri Apr 26 19:04:33 GMT 2024","Fri Apr 26 19:04:34 GMT 2024","203","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest","Create entity (test case) test
"
"passed","Fri Apr 26 19:04:10 GMT 2024","Fri Apr 26 19:04:15 GMT 2024","5306","","UI Tests","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
"passed","Fri Apr 26 19:04:15 GMT 2024","Fri Apr 26 19:04:23 GMT 2024","7828","","UI Tests","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
"passed","Fri Apr 26 19:04:15 GMT 2024","Fri Apr 26 19:04:23 GMT 2024","7868","","UI Tests","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:04 GMT 2024","68","","API Tests","","ProjectTests","GetMissingProjectTest","GetMissingProjectTest","Get missing entity (project) test
"
"passed","Fri Apr 26 19:04:11 GMT 2024","Fri Apr 26 19:04:18 GMT 2024","6656","","UI Tests","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"broken","Fri Apr 26 19:04:18 GMT 2024","Fri Apr 26 19:04:33 GMT 2024","15637","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Fri Apr 26 19:04:08 GMT 2024","Fri Apr 26 19:04:15 GMT 2024","6264","","UI Tests","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"passed","Fri Apr 26 19:04:18 GMT 2024","Fri Apr 26 19:04:24 GMT 2024","6557","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Fri Apr 26 19:04:03 GMT 2024","Fri Apr 26 19:04:04 GMT 2024","638","","API Tests","","ProjectTests","AddProjectTest","AddProjectTest","Create entity (project) test
"
"broken","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:18 GMT 2024","14058","","UI Tests","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Fri Apr 26 19:04:04 GMT 2024","Fri Apr 26 19:04:08 GMT 2024","4556","","UI Tests","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Fri Apr 26 19:04:34 GMT 2024","Fri Apr 26 19:04:34 GMT 2024","84","","API Tests","","TestCaseTests","GetTestCaseTest","GetTestCaseTest","Get entity (test case) test
"
"passed","Fri Apr 26 19:04:34 GMT 2024","Fri Apr 26 19:04:34 GMT 2024","167","","API Tests","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest","Delete entity (test case) test
"
